passage_id,question,passage
2001_298_126,Jak wysoka jest kara dla uchylającego się od służby funkcjonariusza BOR?," Art. 126. Kto, odbywając służbę kandydacką w BOR, w celu trwałego uchylenia się od służby opuszcza wyznaczone miejsce wykonywania obowiązków służbowych lub w takim celu poza nim pozostaje, podlega karze pozbawienia wolności od 3 miesięcy do lat 5. "
1997_714_52,Kto określił sposób prowadzenia kart przychodów?," Art. 52. 1. Podatnicy dokonujący pracownikom wypłat należności ze stosunku pracy, o których mowa w art. 12 ustawy o podatku dochodowym, są obowiązani prowadzić karty przychodów, o których mowa w art. 4 pkt 8. 2. Minister właściwy do spraw finansów publicznych określi, w drodze rozporządzenia, sposób prowadzenia kart przychodów. "
1997_557_216,Czy tymczasowo aresztowany może korzystać z własnej odzieży?," Art. 216. § 1. Tymczasowo aresztowany może korzystać z własnej odzieży, bielizny i obuwia, chyba że zakłóca to porządek ustalony w areszcie śledczym lub sprzeciwiają się temu względy bezpieczeństwa lub względy sanitarne. "
1997_251_6,Na czyj wniosek inne jednostki organizacyjne mogą uzyskać osobowość prawną?," Art. 6. Inne jednostki organizacyjne mogą, na wniosek zarządu Związku Gmin, uzyskać osobowość prawną w drodze rozporządzenia Ministra Spraw Wewnętrznych i Administracji. "
1997_926_232,Czy strona może cofnąć odwołanie przed wydaniem decyzji przez organ odwoławczy?," Art. 232. Strona może cofnąć odwołanie przed wydaniem decyzji przez organ odwoławczy. Organ odwoławczy nie uwzględni jednak cofnięcia odwołania, jeżeli prowadziłoby to do utrzymania w mocy decyzji wydanej z naruszeniem przepisów uzasadniających jej uchylenie lub z innych przyczyn wadliwej. "
2002_1802_3,"Kto może określić, w drodze rozporządzenia, dodatkowe kryteria akredytacyjne?","Art. 3. Minister właściwy do spraw finansów publicznych może określić, w drodze rozporządzenia, dodatkowe kryteria akredytacyjne, które powinna spełniać agencja płatnicza, inne niż określone w załączniku nr 1 do rozporządzenia nr 885/2006, mając na względzie zapewnienie prawidłowego wydatkowania środków pochodzących z EFRG i EFRROW. "
2001_1409_25,Kiedy Prezes Głównego Urzędu Miar może odmówić wpisu?," Art. 25. 1. Prezes Głównego Urzędu Miar dokonuje wpisu znaku identyfikacyjnego producenta do rejestru w terminie 14 dni od dnia otrzymania zgłoszenia. Zgłoszenie winno zawierać dane, o których mowa w art. 24 ust. 2, aktualny wypis z Krajowego Rejestru Sądowego i 5 egzemplarzy wzoru znaku o wymiarach nie większych niż 5 cm x 5 cm. 2. Prezes Głównego Urzędu Miar odmawia wpisu w przypadku, gdy znak zgłoszony przez producenta jest identyczny ze znakiem już wcześniej wpisanym do rejestru. "
2004_287_13,Co ustala Główny Lekarz Weterynarii?," Art. 13. 1. Główny Lekarz Weterynarii: 1) ustala ogólne kierunki działania Inspekcji i wydaje instrukcje określające sposób jej postępowania, w tym instrukcje dotyczące stosowania przez organy Inspekcji przepisw Unii Europejskiej; "
2001_18_43,Na kim spoczywa obowiązek prowadzenia kontroli źródeł promieniowania jonizującego?," Art. 43. 1. Źródła promieniowania jonizującego podlegają kontroli, a źródła promieniotwórcze podlegają także ewidencji. 2. Obowiązek prowadzenia kontroli źródeł promieniowania jonizującego oraz ewidencji stanu i ruchu źródeł promieniotwórczych spoczywa na kierowniku jednostki organizacyjnej wykonującej działalność związaną z tymi źródłami. "
2001_1229_135,Czy pozwolenie wodnoprawne wygasa jeżeli upłynął okres na który było wydane?," Art. 135. Pozwolenie wodnoprawne wygasa jeżeli: 1) upłynął okres, na który było wydane, 2) zakład zrzekł się uprawnień ustalonych w tym pozwoleniu, "
2001_610_9{3},Jakie zadania mogą zlecać jednostkom samorządu powiatowego zarządy województw?," Art. 9{3}. 1. Opłaty, o których mowa w art. 9{2} ust. 1, mogą być wykorzystane przez zarządy województw wyłącznie na finansowanie zadań określonych w art. 4 ust. 1. 2. Zarządy województw mogą zlecać, w drodze porozumień, jednostkom samorządu powiatowego zadania z zakresu profilaktyki i rozwiązywania problemów alkoholowych oraz przekazywać środki finansowe na ich realizację. "
2001_627_154,Co może ustalić organ ochrony środowiska w drodze decyzji?," Art. 154. 1. Organ ochrony środowiska może ustalić, w drodze decyzji, wymagania w zakresie ochrony środowiska dotyczące eksploatacji instalacji, z której emisja nie wymaga pozwolenia, o ile jest to uzasadnione koniecznością ochrony środowiska. 2. Do decyzji, o której mowa w ust. 1, przepis art. 188 ust. 2 stosuje się odpowiednio. 3. Postępowanie w przedmiocie wydania decyzji, o której mowa w ust. 1, wszczyna się z urzędu. "
1997_468_29,Kto określi w drodze rozporządzenia rodzaje preparatów i ich ilości jakie mogą posiadać zakłady opieki?," Art. 29. 1. Preparaty zawierające środki odurzające grup I-N, II-N i III-N lub substancje psychotropowe grup II-P, III-P i IV-P, które zostały dopuszczone do obrotu jako środki farmaceutyczne na podstawie przepisów, o których mowa w art. 2 pkt 1, może posiadać, w celach medycznych, zakład opieki zdrowotnej nie mający apteki zakładowej, zakład leczniczy dla zwierząt oraz lekarz, lekarz stomatolog lub lekarz weterynarii, prowadzący indywidualną praktykę lekarską, oraz inne podmioty. 2. Minister Zdrowia i Opieki Społecznej określi, w drodze rozporządzenia, rodzaje preparatów i ich ilości, jakie mogą posiadać podmioty, o których mowa w ust. 1 oraz inne podmioty, szczegółowe warunki przechowywania tych preparatów oraz prowadzenia dokumentacji w zakresie ich posiadania i stosowania. "
2004_880_94,Kto wykonuje zadania wojewody w zakresie ochrony przyrody na terenie parku narodowego?, Art. 94. Zadania wojewody w zakresie ochrony przyrody na terenie parku narodowego wykonuje dyrektor tego parku. 
1997_31_15,Jak długo można dokonać uboju zwierząt sprowadzonych z zagranicy? ," Art. 15. 1. Towary przywiezione z zagranicy podlegają badaniom w wyznaczonych miejscach, o których mowa w art. 11 ust. 1 pkt 3, ust. 2 pkt 3 i ust. 3 pkt 3, a zwierzęta przeznaczone do chowu lub hodowli podlegają kwarantannie. 2. Uboju zwierząt rzeźnych dokonuje się nie później niż w ciągu 72 godzin po przekroczeniu granicy. "
2000_1321_71,Jaki akt wygasa wraz z dniem powołania Prezesa UDT?," Art. 71. 1. Do dnia powołania Prezesa UDT, o którym mowa w art. 38 ust. 1, jego funkcje sprawuje Prezes Urzędu Dozoru Technicznego powołany w trybie ustawy, o której mowa w art. 69 ust. 1. 2. Z dniem powołania Prezesa UDT, o którym mowa w art. 38 ust. 1, wygasa akt powołania Prezesa Urzędu Dozoru Technicznego. "
1997_926_70,Po jakim czasie przedawnia się zobowiązanie podatkowe?," Art. 70. § 1. Zobowiązanie podatkowe przedawnia się z upływem 5 lat, licząc od końca roku kalendarzowego, w którym upłynął termin płatności podatku. "
